T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,overheat_flag
20.84,18.5,17.82,19.299999,69.669998,56.57,82.0,0.0,0.0,0
20.6,18.5,18.26,19.299999,69.139999,57.119999,82.0,0.0,0.0,0
20.439999,18.5,18.539999,19.299999,68.75,57.439999,85.0,0.0,0.0,0
20.4,18.5,18.619999,19.299999,68.489998,57.529999,88.0,0.0,0.0,0
20.35,18.5,18.74,19.299999,68.5,57.610001,88.0,0.0,0.0,0
20.299999,18.5,18.859999,19.299999,68.419998,57.759998,88.0,0.0,0.0,0
20.26,18.5,18.92,19.299999,68.279999,57.869999,85.0,0.0,0.0,0
20.205,18.5,18.779999,19.299999,68.279999,58.079998,82.0,0.0,0.0,0
20.184999,18.5,18.68,18.299999,69.939995,58.23,82.0,0.0,0.0,0
20.17,18.5,18.699999,18.299999,70.549995,58.309998,82.0,0.0,0.0,0
20.135,18.5,18.68,18.299999,70.909996,58.399998,82.0,0.0,0.0,0
20.115,18.5,18.74,17.299999,71.110001,58.509998,82.0,0.0,0.0,0
20.1,18.5,18.74,17.299999,71.299995,58.599998,82.0,0.0,0.0,0
20.074999,18.5,18.76,18.299999,71.43,58.779999,82.0,0.0,0.0,0
20.055,18.5,18.779999,18.299999,71.510002,58.93,82.0,0.0,0.0,0
20.045,18.5,18.799999,18.299999,71.619995,59.009998,82.0,0.0,0.0,0
20.035,18.5,18.82,18.299999,71.619995,59.09,82.0,0.0,0.0,0
20.029999,18.5,18.84,18.299999,71.580002,59.189999,82.0,0.0,0.0,0
20.014999,18.5,18.859999,18.299999,71.57,59.239998,82.0,0.0,0.0,0
20.004999,18.5,18.859999,18.299999,71.540001,59.299999,82.0,0.0,0.0,0
20.004999,18.5,18.879999,18.299999,71.510002,59.34,85.0,0.0,0.0,0
19.994999,18.5,18.92,18.299999,71.589996,59.419998,88.0,0.0,0.0,0
19.984999,18.5,18.939999,17.299999,71.489998,59.439999,88.0,0.0,0.0,0
19.975,18.5,18.959999,17.299999,71.519997,59.449997,88.0,0.0,0.0,0
19.975,18.5,18.959999,17.299999,71.57,59.439999,88.0,0.0,0.0,0
19.975,18.5,18.98,17.299999,71.510002,59.449997,88.0,0.0,0.0,0
